subject,compatibility,ratings,ratings_raw,rts,insula,rcz,insula_neurosynth,acc_neurosynth,dacc_neurosynth
1,0,31.57840895,312.81,0.313,1.161062617,1.504335517,-0.30141659,-7.441813231,-8.289017636
1,0,8.914481204,288.2,0.373,0.701390705,-2.068531109,-0.866188225,-6.01312232,-6.548566424
1,0,46.53987398,326.02,0.367,-0.494274827,1.090427453,-2.358580162,-5.920824975,-6.395035619
1,0,3.778486838,283.81,0.35,-2.786955278,-3.641319143,-4.798082566,-5.525759339,-5.625652977
1,0,42.64492701,323.39,0.328,-4.441649776,0.068178228,-6.678036475,-4.795734033,-7.099317032
1,0,55.47178482,334.66,0.376,-1.773146257,-2.552225414,-1.943458901,1.750377472,1.998926228
1,0,-87.73895101,186.13,0.54,3.620590323,-1.663139116,2.530528778,4.632230729,4.243826213
1,0,2.225606494,280.83,0.394,-0.669723046,-3.50855664,-0.532854334,-4.621208608,-3.359069176
1,0,23.21804103,301.79,0.395,-2.518458313,-1.169630865,-2.74318943,-2.424577489,-1.190052677
1,0,17.79115505,294.19,0.462,1.251835291,3.470404801,0.271828421,0.813612461,1.547467256
1,0,38.79178482,317.98,0.376,-0.116802997,-0.652095384,-0.713198441,-4.88354139,-3.390428844
1,0,25.91343381,304.68,0.389,-1.589175462,-2.856995231,-0.804988671,-3.245078966,-3.261931492
1,0,7.08492701,287.83,0.328,-2.341232777,-0.857605582,-1.736390314,-0.736383493,0.589534486
1,0,-7.170465764,273.38,0.334,-2.535933924,-0.709143523,-0.215916818,-2.288231403,-2.117072054
1,0,28.72830288,307.43,0.391,-3.858933242,-0.96085842,-2.600458878,-0.073466402,0.887426667
1,0,7.933617763,288.03,0.348,-5.350784327,-3.552023693,-3.68392235,-5.862604454,-5.226842652
1,0,-49.48892284,228.11,0.425,2.460275998,0.211868326,0.89307121,-4.208942637,-3.983141059
1,0,-78.95177501,200.95,0.354,-2.421608122,-0.396858394,-1.523134476,-5.423714951,-3.67721072
1,0,-6.206566194,272.56,0.389,1.034027822,-0.718217927,0.764702565,-2.38951467,-2.532865395
1,0,-6.586382237,273.51,0.348,-2.56191797,-0.813003119,-1.961464661,-7.1652686,-6.535900551
1,0,-3.302744517,274.88,0.407,-0.081527479,-2.752417113,-0.712135492,-5.257445693,-4.715997986
1,0,29.21241458,311.19,0.29,-4.356505369,-2.528846383,-6.029706907,-4.970400661,-3.344056402
1,0,9.870921376,289.87,0.351,1.145197573,-0.005495959,1.746275721,1.417056744,-0.037014257
1,0,-75.00708989,203.5,0.397,-2.541275387,-3.664589995,-1.671336094,-4.712195277,-5.432927774
1,0,8.128196817,284.3,0.469,-4.0308476,-2.595375038,-3.011203271,-0.329758205,-2.081683706
1,0,11.94327802,293.11,0.315,-5.641382757,-2.659546319,-4.56608212,-2.406531293,-3.056728969
1,0,18.25204667,297.57,0.372,-2.640307514,0.143835209,-2.549999088,1.057451173,-1.917834541
1,0,21.35971819,303.24,0.293,-2.670851463,2.786772069,-1.962271473,-0.295150356,0.05622686
1,0,23.81882658,302.78,0.383,0.602391595,3.286296659,2.056510582,0.337186727,1.027867249
1,0,-18.91274452,259.27,0.407,2.779877462,0.615201815,3.571439791,4.863343284,5.423696912
1,0,-24.77769148,254.67,0.368,-2.892893697,1.852566838,-1.79253578,-1.31594516,-2.128814568
1,0,16.12602413,292.46,0.464,1.023698054,0.996744634,-0.022593124,-0.419591229,1.845083365
1,0,-109.5665165,164.27,0.541,-2.463997019,0.432770671,-3.37190274,4.073832616,3.617116114
1,0,-0.834733248,278.84,0.361,-8.886554316,-1.444303921,-7.930703282,-0.044358251,-0.633810504
1,0,-9.422404775,267.69,0.44,-8.684966338,-8.312289561,-7.929299688,-0.042255226,-6.816862997
1,0,24.86916632,302.76,0.416,7.648403067,1.18958736,7.286293888,3.646270163,3.887964554
1,0,-4.087245678,276.82,0.323,0.432906127,-1.410083205,0.66124459,1.274197608,-0.038057347
1,0,-19.48091157,259.61,0.379,0.108358077,0.576360321,0.887059336,2.128894173,1.392709004
1,0,-13.94413166,264.79,0.39,-3.632821485,-0.361034557,-4.417762089,-1.902756892,-1.811875035
1,0,8.962330064,279.75,0.635,2.492347491,1.313839901,3.019373596,2.148282319,2.151462304
